OT;Núm. Trabajo;Descripción Trabajo;VIN;Marca;Gama;Año;;Tipo Cargo;Tipo de Trabajo;Cliente Cargo  ;Kms.;F. Entrada;F. Cierre;Dif. F. Alta-F.Cierre;Estado
OTM/1980/2025;1;"CLIENTE REPORTA EMBELLECIMIENTO  PARA EXHIBICION
";DSU105798;Hyundai;Santa Fe;2025;;Interno;OTRO;2;10;6/06/2025;10/06/2025;4;Facturada
OTM/1983/2025;1;"CLIENTE REPORTA LAVADO EXTERIOR PARA EXHIBICION
";ATP718716;Hyundai;HB20;2026;;Interno;OTRO;2;10;6/06/2025;7/06/2025;1;Facturada
OTM/1984/2025;1;"CLIENTE REPORTALAVADO EXTERIOR

";GTU124064;Hyundai;Kona;2026;;Interno;OTRO;2;10;6/06/2025;10/06/2025;4;Facturada
OTM/1986/2025;1;"CLIENTE REPORTA LVADO EXTERIOR PARA EXHIBICION
";BTP717771;Hyundai;HB20S;2026;;Interno;OTRO;2;10;7/06/2025;8/06/2025;1;Facturada
OTM/1987/2025;1;"CLIENTE REPORTA BODEGAJE
";GSU121903;Hyundai;Kona;2025;;Interno;OTRO;2;10;8/06/2025;8/06/2025;0;Facturada
OTM/1993/2025;1;"CLIENTE REPORTA BODEGAJE
";BTP718141;Hyundai;HB20;2026;;Interno;OTRO;2;10;9/06/2025;9/06/2025;0;Facturada
OTM/1995/2025;1;"CLIENTE REPPORTA LAVADO EXTERIOR VITRINA
";DSU105739;Hyundai;Santa Fe;2025;;Interno;OTRO;2;10;10/06/2025;15/06/2025;5;Facturada
OTM/1996/2025;1;"CLIENTE REPPRTA LAVADO EXTERIOR VITRINA
";BTJ365910;Hyundai;Tucson;2026;;Interno;OTRO;2;10;10/06/2025;15/06/2025;5;Facturada
OTM/1997/2025;1;"CLIENTE REPORTA LAVADO EXTERIOR VITRINA
";GTU129561;Hyundai;Kona;2026;;Interno;OTRO;2;10;10/06/2025;19/06/2025;9;Facturada
OTM/2000/2025;1;"CLIENTE REPPORTA LAVADO EXTERIOR VITRINA
";BTJ376407;Hyundai;Tucson;2026;;Interno;OTRO;2;10;10/06/2025;19/06/2025;9;Facturada
OTM/2020/2025;1;"CLIENTE REPPORTA CAMBIAR TECHO SUNROOF NOVEDADES DEL TRANSPORTADOR  ANEXO INVENTARIO
";BSJ365179;Hyundai;Tucson;2025;;Cliente;OTRO;36599;10;17/06/2025;20/08/2025;64;Facturada
OTM/2023/2025;1;"CLIENTE REPORTA CAMBIO DE HSG Y PARTES METALICAS AGENTES CONTAMINENTES
";GTU129557;Hyundai;Kona;2026;;Interno;MECANICA;2;10;17/06/2025;30/07/2025;43;Anulado
OTM/2031/2025;1;"CLIENTE LAVADO EXTERIOR PARA VITRINA
";BTJ365875;Hyundai;Tucson;2026;;Interno;OTRO;2;10;20/06/2025;25/06/2025;5;Facturada
OTM/2042/2025;1;"CLIENTE SOLICITA TOMA IMPRONTA
";GSU101550;Hyundai;Kona;2025;;Interno;MECANICA;2;10;24/06/2025;25/06/2025;1;Facturada
OTM/2077/2025;1;"CLIENTE REPORTA TOMA IMPRONTA
";BTJ375291;Hyundai;Tucson;2026;;Interno;MECANICA;2;10;6/07/2025;12/07/2025;6;Facturada
OTM/2139/2025;1;"INSTALACION DE RADIOS
";ATM615456;Hyundai;Grand I10;2026;;Cliente;OTRO;36599;10;19/07/2025;28/07/2025;9;Facturada
